?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,0,0,8,325.416,0,0
2,0,0,0,8,321.92,0,0
3,1,0,0,8,351.84,0,0
4,0,0,2,8,354.424,0,0
5,2,1,0,8,411.952,0,0
6,0,1,1,8,413.244,0,0
7,0,0,0,8,411.68,0,0
8,0,0,0,8,411.68,0,0
9,0,2,0,8,412.224,0,0
10,0,0,2,8,414.264,0,0
11,0,1,0,8,411.952,0,0
12,0,1,1,8,413.244,0,0
13,0,0,1,8,412.972,0,0
14,0,0,0,8,411.68,0,0
15,0,1,1,8,413.244,0,0
16,0,1,1,8,413.244,0,0
17,0,0,0,8,411.68,0,0
18,0,0,1,8,412.972,0,0
19,0,0,1,8,412.972,0,0
20,1,0,2,8,444.184,0,0
0,4,8,13,8,7986.787,399.339,31.929
