?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,0,1,0,293.292,0,0
2,0,0,4,0,297.168,0,0
3,1,0,0,0,321.92,0,0
4,0,0,0,0,321.92,0,0
5,0,1,0,0,322.192,0,0
6,0,1,1,0,323.484,0,0
7,0,0,0,0,321.92,0,0
8,1,1,0,0,352.111,0,0
9,0,0,0,0,351.84,0,0
10,0,1,0,0,352.111,0,0
11,0,1,1,0,353.404,0,0
12,0,0,2,0,354.424,0,0
13,0,0,2,0,354.424,0,0
14,0,1,1,0,353.404,0,0
15,0,0,1,0,353.131,0,0
16,0,1,1,0,353.404,0,0
17,0,2,0,0,352.384,0,0
18,1,1,0,0,382.032,0,0
19,0,1,1,0,383.324,0,0
20,0,1,2,0,384.616,0,0
0,3,12,17,0,6882.504,344.125,25.094
