?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,1,0,0,292.272,0,0
2,0,0,0,0,292,0,0
3,0,0,0,0,292,0,0
4,0,0,0,0,292,0,0
5,0,0,1,0,293.292,0,0
6,0,0,1,0,293.292,0,0
7,2,1,1,0,353.404,0,0
8,0,1,0,0,352.111,0,0
9,0,1,0,0,352.111,0,0
10,0,0,0,0,351.84,0,0
11,0,0,0,0,351.84,0,0
12,1,0,0,0,381.76,0,0
13,1,1,2,0,414.536,0,0
14,0,1,2,0,414.536,0,0
15,0,1,0,0,411.952,0,0
16,0,2,0,0,412.224,0,0
17,0,1,0,0,411.952,0,0
18,0,0,1,0,412.972,0,0
19,0,0,2,0,414.264,0,0
20,0,0,0,0,411.68,0,0
0,4,10,10,0,7202.038,360.101,50.313
