?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,1,0,2,325.376,0,0
2,0,0,1,2,323.212,0,0
3,0,0,0,2,321.92,0,0
4,0,0,1,2,323.212,0,0
5,0,1,0,2,322.192,0,0
6,0,0,0,2,321.92,0,0
7,0,1,0,2,322.192,0,0
8,0,0,1,2,323.212,0,0
9,0,0,0,2,321.92,0,0
10,0,0,1,2,323.212,0,0
11,0,0,0,2,321.92,0,0
12,0,0,0,2,321.92,0,0
13,0,1,0,2,322.192,0,0
14,0,0,1,2,323.212,0,0
15,0,1,1,2,323.484,0,0
16,0,0,0,2,321.92,0,0
17,0,1,0,2,322.192,0,0
18,0,0,2,2,324.504,0,0
19,0,0,1,2,323.212,0,0
20,0,0,0,2,321.92,0,0
0,0,6,9,2,6454.844,322.742,0.944
