?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,0,1,19,327.28,0,0
2,0,2,0,19,322.464,0,0
3,0,0,1,19,323.212,0,0
4,3,1,1,19,413.244,0,0
5,0,0,0,19,411.68,0,0
6,1,0,0,19,441.6,0,0
7,0,0,0,19,441.6,0,0
8,0,1,2,19,444.456,0,0
9,0,0,0,19,441.6,0,0
10,0,0,0,19,441.6,0,0
11,0,1,0,19,441.872,0,0
12,1,1,2,19,474.376,0,0
13,0,0,2,19,474.104,0,0
14,1,0,0,19,501.44,0,0
15,0,1,0,19,501.712,0,0
16,1,0,1,19,532.651,0,0
17,0,0,0,19,531.36,0,0
18,1,0,0,19,561.28,0,0
19,1,0,0,19,591.199,0,0
20,0,1,0,19,591.472,0,0
0,9,8,10,19,9210.202,460.51,77.675
