?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,1,2,4,328.064,0,0
2,0,1,2,4,324.776,0,0
3,0,1,0,4,322.192,0,0
4,0,1,1,4,323.484,0,0
5,0,0,0,4,321.92,0,0
6,1,0,0,4,351.84,0,0
7,1,0,0,4,381.76,0,0
8,0,0,0,4,381.76,0,0
9,0,0,1,4,383.051,0,0
10,0,1,0,4,382.032,0,0
11,0,0,0,4,381.76,0,0
12,0,2,0,4,382.304,0,0
13,0,1,0,4,382.032,0,0
14,0,0,0,4,381.76,0,0
15,0,0,0,4,381.76,0,0
16,1,0,1,4,412.972,0,0
17,0,0,2,4,414.264,0,0
18,0,0,0,4,411.68,0,0
19,0,0,0,4,411.68,0,0
20,0,0,1,4,412.972,0,0
0,3,8,10,4,7474.063,373.703,32.442
