?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,1,0,0,292.272,0,0
2,0,1,1,0,293.564,0,0
3,0,0,0,0,292,0,0
4,1,1,2,0,324.776,0,0
5,0,1,1,0,323.484,0,0
6,0,0,0,0,321.92,0,0
7,1,2,1,0,353.676,0,0
8,0,0,0,0,351.84,0,0
9,0,0,1,0,353.131,0,0
10,0,0,1,0,353.131,0,0
11,1,1,0,0,382.032,0,0
12,1,0,0,0,411.68,0,0
13,0,0,1,0,412.972,0,0
14,0,0,1,0,412.972,0,0
15,0,2,0,0,412.224,0,0
16,0,0,1,0,412.972,0,0
17,0,0,1,0,412.972,0,0
18,0,0,1,0,412.972,0,0
19,0,0,1,0,412.972,0,0
20,0,0,0,0,411.68,0,0
0,4,9,13,0,7355.241,367.762,45.845
