?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,0,0,0,0,292,0,0
2,0,1,0,0,292.272,0,0
3,0,1,0,0,292.272,0,0
4,0,0,0,0,292,0,0
5,1,1,0,0,322.192,0,0
6,0,1,1,0,323.484,0,0
7,0,0,1,0,323.212,0,0
8,0,1,0,0,322.192,0,0
9,0,1,1,0,323.484,0,0
10,0,1,0,0,322.192,0,0
11,0,1,1,0,323.484,0,0
12,0,0,0,0,321.92,0,0
13,0,0,1,0,323.212,0,0
14,0,1,0,0,322.192,0,0
15,1,1,0,0,352.111,0,0
16,0,0,0,0,351.84,0,0
17,0,0,1,0,353.131,0,0
18,1,1,1,0,383.324,0,0
19,0,0,0,0,381.76,0,0
20,0,0,1,0,383.051,0,0
0,3,11,8,0,6601.325,330.066,28.373
