?????? ?????????,???????,?????,??????? ?????,??????? ??????????,??????????? ?????,??,???
1,1,0,1,0,323.212,0,0
2,0,0,0,0,321.92,0,0
3,0,1,1,0,323.484,0,0
4,0,0,1,0,323.212,0,0
5,0,0,0,0,321.92,0,0
6,1,0,0,0,351.84,0,0
7,0,0,2,0,354.424,0,0
8,0,1,0,0,352.111,0,0
9,0,1,1,0,353.404,0,0
10,0,2,1,0,353.676,0,0
11,1,0,0,0,381.76,0,0
12,0,2,1,0,383.596,0,0
13,0,0,0,0,381.76,0,0
14,0,1,0,0,382.032,0,0
15,0,0,0,0,381.76,0,0
16,2,1,1,0,443.164,0,0
17,0,1,1,0,443.164,0,0
18,0,0,0,0,441.6,0,0
19,0,1,0,0,441.872,0,0
20,0,0,1,0,442.892,0,0
0,5,11,11,0,7502.803,375.14,44.23
